id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
36378153,BCN life - Habitación,96039422,Rogerio,la Sagrera,41.42058,2.18816,Private room,31,0,,,1,365,13
26940439,Two Bedroom Apartment next to Sagrada Familia,98330509,Apart-Suites,la Sagrada Família,41.40149,2.17145,Entire home/apt,2,1,2020-10-26,0.28,5,279,141
42962582,"Hostal Nitzs BCN, Small Double w/ Shared Bathroom",341323870,Hostal Nitzs BCN,el Barri Gòtic,41.38211,2.17781,Private room,1,28,2020-10-22,3.87,5,365,999
36423530,GRAN Apto.Centro BCN. 5HAB. 3 BAÑOS  Eixample,36438736,Dessy,l'Antiga Esquerra de l'Eixample,41.38985,2.15507,Entire home/apt,2,10,2020-02-09,0.51,1,225,289
23931051,Lucuma - Nice apartment at 7 min. walk of Rambla Catalunya!,175453328,Amarantha,Sant Gervasi - Galvany,41.39416,2.14736,Entire home/apt,1,1,2018-09-30,0.03,12,332,86
38370874,☼A Lovely Home of Barceloneta ☼,239550764,Clarice,la Barceloneta,41.38033,2.18745,Entire home/apt,32,0,,,30,179,41
3491845,Lovely central room for 1 in quiet neighborhood,2433952,Sebastian,el Poble Sec,41.37488,2.15772,Private room,2,14,2018-10-06,0.18,1,365,35
20842519,Elegant 3 Bed with views of Sagrada Familia,149548835,Alberto & Karla,el Fort Pienc,41.40023,2.17819,Entire home/apt,2,89,2021-01-10,2.15,1,261,78
18860031,Cathedral View in Born,5628387,Chad And Kori,"Sant Pere, Santa Caterina i la Ribera",41.38558,2.17852,Entire home/apt,32,6,2020-03-27,0.15,1,333,54
30787688,Nordic 125m2 apt. with 4 bedroom and 3 bathroom,3556337,Alejandro,el Guinardó,41.41661,2.17761,Entire home/apt,6,3,2020-08-08,0.12,18,48,209
19342750,Aragón centro de Barcelona,110763264,Maileth,l'Antiga Esquerra de l'Eixample,41.38657,2.15707,Private room,2,6,2018-05-08,0.14,1,362,30
45251736,habitacion privada en pleno centro de Barcelona,351928383,Sandra,el Fort Pienc,41.39574,2.18189,Private room,5,0,,,1,365,25
32304068,♨︎◦A Sunny View of Barceloneta◦♨︎,239550764,Clarice,la Barceloneta,41.38243,2.18696,Entire home/apt,32,2,2019-08-06,0.09,30,0,39
32126261,Single_perfect_cozy_room,12617302,Tom’s Team,"Sant Pere, Santa Caterina i la Ribera",41.3863,2.18161,Private room,30,0,,,14,0,15
40072766,amazinng born,309125199,Pratchaya,"Sant Pere, Santa Caterina i la Ribera",41.38442,2.18269,Entire home/apt,33,0,,,1,1,55
43427968,PLAZA URQUINAONA FULL EQUIPPED,345936394,Laura Violeta,"Sant Pere, Santa Caterina i la Ribera",41.3876,2.17479,Entire home/apt,30,0,,,4,365,50
19201959,Standard 21 Apartment with Tiny Balcony,130878430,Apartments Freser 78,el Camp de l'Arpa del Clot,41.41184,2.18051,Entire home/apt,28,20,2021-01-31,0.45,7,0,58
30028872,Apartamento en Barcelona (#P44),220741284,Barcelona Beach,la Vila Olímpica del Poblenou,41.39432,2.19365,Entire home/apt,30,4,2020-06-30,0.2,7,359,57
35163123,COMFY PRIVATE ROOM IN  CENTER OF BARCELONA CENTER,257177868,Alejandro,l'Antiga Esquerra de l'Eixample,41.39294,2.14676,Private room,90,4,2019-09-20,0.21,3,0,44
1401163,Modern Duplex apartment in Gracia,3376710,Maria StayBarcelona,la Vila de Gràcia,41.39852,2.16024,Entire home/apt,2,4,2018-06-14,0.11,60,249,49
11391287,Hidden Charm w/balcony in Borne!,1783657,Gordana,"Sant Pere, Santa Caterina i la Ribera",41.38337,2.18093,Private room,1,51,2018-02-22,0.86,1,0,70
1689975,"habitacion con baño privado,wifi,",8171809,Margot,les Corts,41.38905,2.14208,Private room,2,3,2019-02-27,0.06,1,365,100
43956620,NEW! Luz y espacio en Ps de Gracia,127482361,Apkeys,la Dreta de l'Eixample,41.39213,2.16554,Entire home/apt,32,3,2021-02-01,0.67,12,333,39
46001218,Long Stay Coliving en Gallery Hotel: Standard Room,51645142,Gallery Hoteles,la Dreta de l'Eixample,41.39599,2.15861,Private room,30,0,,,3,1,700
44146381,OLA LIVING MUSIC PB 1,33278356,Júlia,"Sant Pere, Santa Caterina i la Ribera",41.38858,2.17482,Entire home/apt,1,1,2020-12-30,0.7,33,339,90
18942359,Safety First :) Impecable flat well connected  !!,3744544,Marta+Paul,Sants,41.38224,2.13911,Entire home/apt,3,64,2020-08-03,1.43,27,365,600
39097349,Habitación Doble con Terraza y vistas a la calle,292296775,Daniela,la Nova Esquerra de l'Eixample,41.37781,2.15248,Private room,1,15,2020-02-28,0.91,5,90,53
26241260,Piso grande Modernista D,69815537,Fortuny,el Raval,41.38268,2.17096,Entire home/apt,150,0,,,6,365,100
23366774,NICE & INDIVIDUAL ROOMS in GRACIA 1,174152775,Andrea,la Vila de Gràcia,41.40511,2.15371,Private room,1,16,2018-11-07,0.46,1,178,38
32680404,Gaudi comfort apartment - 1122,238884286,BBarcelona Gaudí Apartments,el Camp d'en Grassot i Gràcia Nova,41.40562,2.16993,Hotel room,3,0,,,9,206,83
42885500,Corporate Executive Apartment near the City Center,157250994,Apartment Barcino,Sant Gervasi - Galvany,41.40185,2.13699,Entire home/apt,30,0,,,90,266,100
14171877,Double Room in Sagrada Familia,85793255,Lorenza,la Sagrada Família,41.40816,2.17641,Private room,5,4,2017-09-09,0.08,2,364,23
41311315,CENTRIC TWO-BEDROOM APARTMENT FOR 7!,300273618,Luís,el Raval,41.37854,2.17412,Entire home/apt,2,7,2020-02-17,0.53,6,0,129
12866743,Comfort center apartment Eixample,1432835,Angel,Sant Antoni,41.37759,2.15799,Entire home/apt,3,113,2020-08-23,2.01,35,112,82
45211703,Urban oasis in Barcelona´s trendiest neighborhood.,365217682,K+K Hotel Picasso,"Sant Pere, Santa Caterina i la Ribera",41.38799,2.18294,Private room,1,0,,,1,350,146
7739287,Beautiful 3bd apartment near Borne,40676061,Be Barcelona,el Fort Pienc,41.39667,2.18082,Entire home/apt,1,188,2020-08-06,2.89,21,189,155
135513,APARTMENT AT RAMBLA POBLE NOU AND BEACH,664196,Teresa,el Poblenou,41.39841,2.20613,Entire home/apt,2,127,2020-02-28,1.12,1,358,80
5328599,Private Terrace in Poblenou (tourist tax included),14120404,Roger,el Poblenou,41.39949,2.19614,Entire home/apt,2,267,2021-01-02,3.68,7,64,90
44439686,Hospédate en el corazón histórico de la ciudad,20003337,Eva,el Barri Gòtic,41.38618,2.1748,Private room,2,0,,,2,365,85
39592983,Cozy bedroom in Plaza España,298587474,Andrea,Sant Antoni,41.37525,2.15023,Private room,1,0,,,1,0,35
42456628,Live on board on the middle of Barcelona city.,98118227,Bernat,la Vila Olímpica del Poblenou,41.38555,2.19922,Entire home/apt,2,0,,,1,90,146
2738727,Open Wall.Gran Vía 2.Renov 2015,3039107,Manuel,Sant Antoni,41.37847,2.15454,Entire home/apt,2,103,2020-03-13,1.25,37,233,110
38663290,"Charming 2bed apt close to Gracia, 5mins to metro",178600021,Sara & Tom,el Camp d'en Grassot i Gràcia Nova,41.40792,2.16531,Entire home/apt,2,12,2020-08-12,0.71,6,224,63
2085779,Single Room in Sant Antoni/eixample,9212889,Abdel,Sant Antoni,41.38026,2.15913,Private room,2,26,2020-08-16,0.82,3,89,30
