id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
37041461,Amazing sunny house with a terrace,2262273,Rosa,Provençals del Poblenou,41.41363,2.20724,Entire home/apt,32,0,,,29,364,364.0
22366177,Musica Apartment,21873399,Sol,el Poble Sec,41.3729,2.1658,Entire home/apt,32,0,,,39,181,181.07
30489606,Espaciosa habitación / spacious room,228834394,Malena,la Nova Esquerra de l'Eixample,41.38216,2.15141,Private room,4,0,,,1,0,0.0
40961877,Sealona Born Apartments 2,1716315,Marc,"Sant Pere, Santa Caterina i la Ribera",41.38441,2.18361,Entire home/apt,4,12,2021-01-11,0.89,12,40,40.0
2951974,Fantastic penthouse with terrace!,3403659,Montserrat,el Camp d'en Grassot i Gràcia Nova,41.4036,2.17037,Entire home/apt,3,167,2020-11-19,2.09,4,326,326.0
6807736,Charming place @ Heart of Barcelona's Old City,35635516,Javier&Manu,el Barri Gòtic,41.37895,2.177,Private room,3,176,2020-12-03,2.83,1,1,1.0
37173918,Amplia y luminosa habitación doble en pleno centro,169485364,Erminia,el Raval,41.37863,2.16436,Private room,1,0,,,1,364,364.0
44428318,habitation with balcony # center near plaza real,358827585,Alicia Kathy,el Barri Gòtic,41.38184,2.17665,Private room,30,1,2020-09-03,0.19,1,365,365.0
21601949,Sweet home with balcony next to Sagrada Familia,154788425,Key Family Apartments,la Sagrada Família,41.40552,2.17514,Entire home/apt,1,46,2020-02-17,1.62,6,0,0.0
1648294,Arquímedes Barcelona Apartment,8487833,Carol,Sant Andreu,41.43904,2.18617,Entire home/apt,3,27,2019-10-15,0.31,1,6,6.1
43323984,Penthouse Terrace Near Sagrada Familia,2819397,Leslie & Arthur,el Camp d'en Grassot i Gràcia Nova,41.40527,2.16932,Entire home/apt,3,0,,,54,1,1.0
18222497,"Private Room in Ático Luz Barcelona1
420",50203343,Mariana,la Nova Esquerra de l'Eixample,41.38187,2.1513,Private room,1,15,2019-02-27,0.33,1,225,225.02
688295,Nice and calm room,3109259,Milian,Porta,41.43238,2.17396,Private room,1,37,2020-02-23,0.86,1,0,0.0
26946113,Art Gallery Apartment 2B,9784103,Apartime,Sant Antoni,41.37559,2.16411,Entire home/apt,3,3,2020-03-16,0.14,23,211,210.69
44032506,Bright & welcoming double bedroom next to the sea!,37566818,Loïc,la Barceloneta,41.38069,2.18732,Private room,30,0,,,1,0,0.0
45966152,Central 2 bedroom apartment in Urgell,265147782,Sleep,l'Antiga Esquerra de l'Eixample,41.38564,2.15467,Entire home/apt,30,0,,,51,0,0.0
777538,(ESQ) Spacious apart in Born Art,3885805,Ana,"Sant Pere, Santa Caterina i la Ribera",41.38463,2.17933,Entire home/apt,3,251,2021-01-07,2.5,2,40,40.0
34929911,Suite for 2,46637327,Maria Victoria,el Poblenou,41.40325,2.20089,Private room,2,11,2019-09-22,0.53,4,1,1.0
22813884,Habitación doble junto a la Universidad UB - UPC!,13604332,José Manuel,la Maternitat i Sant Ramon,41.37687,2.11501,Private room,30,3,2019-09-01,0.1,3,365,365.0
17417904,Habitación -Loft al lado Park Güell,83477402,Maria,la Salut,41.41033,2.15117,Private room,1,123,2020-03-13,2.56,1,275,275.23
22746130,Habitación Museo Picasso,1416252,Jose,"Sant Pere, Santa Caterina i la Ribera",41.38502,2.17966,Private room,3,91,2020-10-04,2.77,1,111,111.16
11108766,Rooftop Plaza Catalunya with Terrace,6268084,Joey,el Barri Gòtic,41.38809,2.17267,Entire home/apt,5,4,2019-05-25,0.09,1,193,193.0
2411106,Livingstone 2BR luxury apartment in Eixample,1435464,Jaume,Sant Antoni,41.3815,2.16059,Entire home/apt,1,64,2019-09-16,0.76,22,359,359.03
34934248,Vintage 3bed/2bath with big terrace in Eixample,158838753,Carlos & Dunia,la Nova Esquerra de l'Eixample,41.38261,2.14384,Entire home/apt,2,8,2020-01-25,0.39,3,200,199.72
